Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Banerjee P.","7401732887;","The 1951 refugee convention through the eyes of a post-colonial feminist",2021,"International Migration","59","4",,"268","270",,,"10.1111/imig.12899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110674469&doi=10.1111%2fimig.12899&partnerID=40&md5=ee2c62a3134d3cb37f48cb63ddbde5f2","University of Calcutta, Kolkata, West Bengal, India","Banerjee, P., University of Calcutta, Kolkata, West Bengal, India",[No abstract available],,,"Banerjee, P.; University of CalcuttaIndia; email: paulabanerjee44@gmail.com",,"John Wiley and Sons Inc",00207985,,,,"English","Int. Migr.",Note,"Final","",Scopus,2-s2.0-85110674469
"Banerjee P., Sengupta S.","7401732887;57215353131;","Governing the north-east: Conflict and social governance in Nagaland",2019,"Global Governance and India's North-East: Logistics, Infrastructure and Society",,,,"228","259",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104901848&partnerID=40&md5=d6dae6329bbcfb1e61a6df9cd4755c59","Sanskrit College and University, India; Graduate Institute Geneva, Switzerland","Banerjee, P., Sanskrit College and University, India; Sengupta, S., Graduate Institute Geneva, Switzerland",[No abstract available],,,"Banerjee, P.; Sanskrit College and UniversityIndia",,"Taylor and Francis Inc.",,9780429286148; 9781138342705,,,"English","Glob. Gov. and India's North-East: Logist., Infrastruct. and Soc.",Book Chapter,"Final","",Scopus,2-s2.0-85104901848
"Banerjee P.","7401732887;","Ports and crime",2018,"Logistical Asia: The Labour of Making a World Region",,,,"69","90",,,"10.1007/978-981-10-8333-4_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053367199&doi=10.1007%2f978-981-10-8333-4_4&partnerID=40&md5=e8b36efa292469034dd4be7dd28e202b","Calcutta Research Group, Kolkata, West Bengal, India","Banerjee, P., Calcutta Research Group, Kolkata, West Bengal, India",[No abstract available],,,"Banerjee, P.; Calcutta Research GroupIndia",,"Springer Singapore",,9789811083334; 9789811083327,,,"English","Logist. Asia: The Labour of Mak. a World Reg.",Book Chapter,"Final","",Scopus,2-s2.0-85053367199
"Banerjee P., Sengupta S.","7401732887;57215353131;","The refugee movement a founding moment of popular movements",2018,"From Popular Movements to Rebellion: The Naxalite Decade",,,,"19","47",,,"10.4324/9780429026706-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077247883&doi=10.4324%2f9780429026706-9&partnerID=40&md5=0c032794d322a7f994b3d526df6b49fb","Sanskrit College, University and member, Calcutta Research Group, India; Department of Anthropology and Sociology, Graduate Institute of International and Development Studies, Geneva, Switzerland","Banerjee, P., Sanskrit College, University and member, Calcutta Research Group, India; Sengupta, S., Department of Anthropology and Sociology, Graduate Institute of International and Development Studies, Geneva, Switzerland","Indian independence came with a high price, that was born out of partition displacing 15 million people. Millions had to leave a part of their lives in search of an alternative, being turned into refugees almost overnight. In West Bengal alone 30 million refugees entered until 1960. In the 1970s the number of people entering from the east was closer to a few million. It is no surprise that partition history has remained a favourite arena of research among scholars and students in India and Bengal, although comparatively the partition of Bengal has been a lesser researched area. The scope of this paper however is beyond that. This chapter will rather attempt to study the political economy of the society in West Bengal during the 50s that was largely shaped by the refugees who crossed over from the then East Pakistan to West Bengal. © 2019 selection and editorial matter, Ranabir Samaddar. All rights reserved.",,,,,"Taylor and Francis",,9780429651618; 9780367134662,,,"English","From Pop. Movements to Rebellion: The Naxalite Decade",Book Chapter,"Final","",Scopus,2-s2.0-85077247883
"Banerjee P.","7401732887;","Criminalising the trafficked: Blaming the victim",2016,"Economic and Political Weekly","51","44-45",,"62","68",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994461984&partnerID=40&md5=405733d775ffc8ac3460af07d2fe1c55","Department of South and South East Asian Studies, University of Calcutta, India","Banerjee, P., Department of South and South East Asian Studies, University of Calcutta, India","People-smuggling and trafficking in humans are generally viewed as two distinct offences. In general, smuggling involves delivering persons into the countries they wish to enter illegally and then leaving them to their own devices. Trafficking for sex and/or labour is defined as coercive in international discourses. In reality, the difference is largely semantic. Women smuggled into another country often fall prey to traffickers, and efforts to punish those who perpetrate the evil end up victimising the victims. Trafficking is not only an abuse of human rights, it is also a process that contributes to statelessness; a status that denies citizenship rights to the victims of trafficking and casts them in a permanent state of non-belonging, devoid of rights.",,,"Banerjee, P.; Department of South and South East Asian Studies, India; email: paulabanerjee44@gmail.com",,"Economic and Political Weekly",00129976,,,,"English","Econ. Polit. Wkly.",Review,"Final","",Scopus,2-s2.0-84994461984
"Mac Ginty R., Banerjee P.","8415280100;7401732887;","Peace via social justice and/or security",2016,"Cultures of governance and peace: A comparison of EU and Indian theoretical and policy approaches",,,,"113","131",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037982404&partnerID=40&md5=d7996c0728287194e80ad79e335717a1","Department of Politics, University of Manchester, United Kingdom; Department of South and Southeast Asian Studies, University of Calcutta, India","Mac Ginty, R., Department of Politics, University of Manchester, United Kingdom; Banerjee, P., Department of South and Southeast Asian Studies, University of Calcutta, India",[No abstract available],,,"Mac Ginty, R.; Department of Politics, United Kingdom",,"Manchester University Press",,9781526117588; 9780719099557,,,"English","Cult. of gov. and peace: A comp. of EU and Indian theor. and policy approaches",Book Chapter,"Final","",Scopus,2-s2.0-85037982404
"Banerjee P.","7401732887;","Women, conflict, and governance in Nagaland",2015,"Government of Peace: Social Governance, Security and the Problematic of Peace",,,,"133","166",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949445348&partnerID=40&md5=ef56b323d8aa6e264d5aa8781486920f","South and Southeast Asian Studies, The University of Calcutta, India","Banerjee, P., South and Southeast Asian Studies, The University of Calcutta, India",[No abstract available],,,"Banerjee, P.; South and Southeast Asian Studies, India",,"Ashgate Publishing Ltd",,9781472434920; 9781472434913,,,"English","Government of Peace: Soc. Gov., Security the and Problematic of Peace",Book Chapter,"Final","",Scopus,2-s2.0-84949445348
"Banerjee P.","7401732887;","Response to landau",2012,"Journal of Refugee Studies","25","4","fes038","570","573",,1,"10.1093/jrs/fes038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870829495&doi=10.1093%2fjrs%2ffes038&partnerID=40&md5=e8ecde3b549b684fb6a66c36678746f6","Calcutta University, Mahanirban Calcutta Research Group, Kolkata, India","Banerjee, P., Calcutta University, Mahanirban Calcutta Research Group, Kolkata, India",[No abstract available],,,"Banerjee, P.; Calcutta University, , Kolkata, India; email: paula@mcrg.ac.in",,,09516328,,,,"English","J. Refugee Stud.",Letter,"Final","",Scopus,2-s2.0-84870829495
"Banerjee P., Choudhury A.B.R.","7401732887;55377292600;","Introduction: Women in Indian borderlands",2012,"Journal of Borderlands Studies","27","1",,"27","29",,2,"10.1080/08865655.2012.711012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867125877&doi=10.1080%2f08865655.2012.711012&partnerID=40&md5=10a69b53ac45bf95990abca7e1667325",,"Banerjee, P.; Choudhury, A.B.R.",[No abstract available],,,"Banerjee, P.",,,08865655,,,,"English","J. Borderl. Stud.",Editorial,"Final","",Scopus,2-s2.0-84867125877
"Banerjee P.","7401732887;","Bengal border revisited",2012,"Journal of Borderlands Studies","27","1",,"31","44",,4,"10.1080/08865655.2012.687208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867120356&doi=10.1080%2f08865655.2012.687208&partnerID=40&md5=1443802d895b875aafef8d8881b377ec","Department of South and Southeast Asian Studies, Calcutta Research Group, GD-273, Sector 3, Salt Lake, Kolkata, 700 091, India","Banerjee, P., Department of South and Southeast Asian Studies, Calcutta Research Group, GD-273, Sector 3, Salt Lake, Kolkata, 700 091, India","This article deals with the notion of how borders have a penchant for becoming a marker of security. The moment borders become securitized the question of flows across them acquires particular importance. In the colonial period this was marked by concern over dacoits, thugees and hooligans who crossed the district border at will. In the post-colonial period concern remains over undocumented migrants and whether their arrival threatens the nation form. Against this background the article addresses the notion of flows and increasing violence at the borders, fencing as the most recent marker of such violence and how women and the evolution of their relationship to the border is shaped through the discourses of violence. © 2012 Association for Borderland Studies.",,,"Banerjee, P.; Department of South and Southeast Asian Studies, GD-273, Sector 3, Salt Lake, Kolkata, 700 091, India; email: paula@mcrg.ac.in",,,08865655,,,,"English","J. Borderl. Stud.",Article,"Final","",Scopus,2-s2.0-84867120356
