Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Bird M.D., Arispe S., Muñoz P., Freier L.F.",56446392000;57558712300;55352238300;36542421000;,"Trust, social protection, and compliance: Moral hazard in Latin America during the COVID-19 pandemic",2023,Journal of Economic Behavior and Organization,206,,,279,295,,,10.1016/j.jebo.2022.12.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145307337&doi=10.1016%2fj.jebo.2022.12.010&partnerID=40&md5=36cae527bc5f6a4df3c89bf59eeb5fbc,"Universidad Del Pac´ıfico, Lima, Peru","Bird, M.D., Universidad Del Pac´ıfico, Lima, Peru; Arispe, S., Universidad Del Pac´ıfico, Lima, Peru; Muñoz, P., Universidad Del Pac´ıfico, Lima, Peru; Freier, L.F., Universidad Del Pac´ıfico, Lima, Peru","Political trust is an important predictor of compliance with government policies, especially in the face of natural disasters or public health emergencies. During the COVID-19 pandemic, for example, multiple studies related political trust to increased compliance with mobility restrictions. Yet these findings come mostly from high-income countries where political trust and wealth correlate positively. In Latin America, both variables correlate negatively, allowing for better testing of competing explanations. Using a difference-in-differences design, we find that in Latin America wealth and, counterintuitively, low political trust predict increased compliance. To understand mechanisms, we decompose political trust and wealth into underlying predictors (social protection, corruption, and education) and reinsert them into the model. While education, as a wealth proxy, predicts decreased mobility across all periods, social protection, which was the strongest predictor of political trust, relates significantly to increased mobility, but only at the beginning of the lockdown prior to distribution of emergency support. This suggests the existence of a public health moral hazard early in the pandemic, whereby citizens who benefited previously from government benefits may have been more risk tolerant in the face of the COVID-19 threat. We interpret these findings within the context of the region's recent “inclusionary turn.” Future studies should explore the distinct relationships between political trust, risk perception, and compliance, especially in low- and middle-income countries, and their implications for policy responses to national emergencies. © 2022",Compliance; COVID-19; Social protection; Trust,,"Bird, M.D.; Universidad Del Pac´ıficoPeru; email: md@up.edu.pe",,Elsevier B.V.,1672681,,JEBOD,,English,J. Econ. Behav. Organ.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85145307337
"Carroll H.A., Kvietok A., Pauschardt J., Freier L.F., Bird M.",56157405800;57957344200;57216536799;36542421000;56446392000;,Prevalence of common mental health disorders in forcibly displaced populations versus labor migrants by migration phase: A meta-analysis,2023,Journal of Affective Disorders,321,,,279,289,,1,10.1016/j.jad.2022.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141486076&doi=10.1016%2fj.jad.2022.10.010&partnerID=40&md5=04b80017aa8f1e411ae037d22efe411b,"Department of Psychiatry, Boston Medical Center, Boston, MA, United States; Department of Social and Political Science, Universidad del Pacífico, Lima, Peru; Department of Health Policy, London School of Economics, London, United Kingdom; Graduate School, Universidad del Pacífico, Lima, Peru; Department of Sociology, University of California San Diego, La Jolla, CA, United States","Carroll, H.A., Department of Psychiatry, Boston Medical Center, Boston, MA, United States; Kvietok, A., Department of Sociology, University of California San Diego, La Jolla, CA, United States; Pauschardt, J., Department of Health Policy, London School of Economics, London, United Kingdom; Freier, L.F., Department of Social and Political Science, Universidad del Pacífico, Lima, Peru; Bird, M., Graduate School, Universidad del Pacífico, Lima, Peru","Migration is not an event, but an interactive process whereby individuals on the move make decisions in their social and political contexts. As such, one expects migrant mental health to change over time. To examine this relationship, we conducted a meta-analysis, the first to our knowledge, to identify the impact of migration phase and migration type on the prevalence of mental health in migrant populations. We searched PubMed, PsycInfo, and Embase for studies published between January 1, 2010, and January 1, 2020 (Prospero ID: 192751). We included studies with international migrants reporting prevalence rates for post-traumatic stress disorder (PTSD), depression, and/or anxiety. The authors extracted data from eligible studies and tabulated mental health prevalence rates, relevant migration condition (e.g., migration type or phase), and methods (e.g., sample size). Full text review resulted in n = 269 manuscripts included in the meta-analysis examining PTSD (n = 149), depression (n = 218), and anxiety (n = 104). Overall prevalence was estimated for PTSD (30.54 %, I2 = 98.94 %, Q = 10,443.6), depression (28.57 %, I2 = 99.17 %, Q = 13,844.34), and anxiety (25.30 %, I2 = 99.2 %, Q = 10,416.20). We also estimated the effect of methodological and migration factors on prevalence in PTSD, depression, and anxiety. Our findings reveal increased prevalence of mental health due to forced migration and being in the journey phase of migration, even when accounting for the influence of methods. © 2022 Elsevier B.V.",Anxiety; Depression; Meta-analysis; Migration; Phase of migration; PTSD,anxiety disorder; Article; depression; female; forced migrant; human; income group; male; mental health; meta analysis; methodology; migrant worker; migration; observational study; outcome assessment; posttraumatic stress disorder; risk factor; anxiety; anxiety disorder; mental health; prevalence; Anxiety; Anxiety Disorders; Humans; Mental Health; Prevalence; Transients and Migrants,"Carroll, H.A.; Department of Psychiatry, United States; email: hcarrol1@bu.edu",,Elsevier B.V.,1650327,,JADID,36367496,English,J. Affective Disord.,Article,Final,,Scopus,2-s2.0-85141486076
"Pérez L.M., Freier L.F.",12799123000;36542421000;,"Family Bonds: Kinship Reciprocity, Female Teenage Trafficking and Domestic Labor Exploitation in Peru",2023,Journal of Human Trafficking,9,1,,48,62,,1,10.1080/23322705.2020.1842638,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096599567&doi=10.1080%2f23322705.2020.1842638&partnerID=40&md5=dfcadd7748f784935c0dd737955d908b,"Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","Pérez, L.M., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru; Freier, L.F., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","In this article we share the findings resulting from interviews with 25 female domestic workers in Lima between August and December of 2016. We argue that the experiences of these workers, who migrate from the provinces to the capital city of Lima as minors, frequently qualify them as victims of human trafficking–not because they are forced to move or deceitfully recruited, but due to their exploitation as adolescent domestic workers. We also analyze the drivers behind teenage female migration to Lima to work in the domestic sector under abusive conditions and offer future policy directions. © 2020 Taylor & Francis.",domestic work; internal migration; kinship; Trafficking,,"Pérez, L.M.; Universidad del Pacífico (Lima, Peru; email: l.perez@up.edu.pe",,Routledge,23322705,,,,English,J. Human Traffick.,Article,Final,,Scopus,2-s2.0-85096599567
"Freier L.F., García L.S.G.",36542421000;57903697200;,Temporary protection for forced migrants: A commentary on the Colombian temporary protection status,2022,International Migration,60,5,,271,275,,,10.1111/imig.13056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138696959&doi=10.1111%2fimig.13056&partnerID=40&md5=b93a96fa3c0c5bf7923b402287628aae,"Universidad del Pacífico, Lima, Peru; Independent Policy Analyst, Bogota, Colombia","Freier, L.F., Universidad del Pacífico, Lima, Peru; García, L.S.G., Independent Policy Analyst, Bogota, Colombia",[No abstract available],,,"Freier, L.F.; Universidad del PacíficoPeru; email: lf.freierd@up.edu.pe",,John Wiley and Sons Inc,207985,,,,English,Int. Migr.,Note,Final,,Scopus,2-s2.0-85138696959
"Freier L.F., Aron Said V., Quesada Nicoli D.",36542421000;57218855956;57833522000;,Non-Discrimination and special protection for migrants and refugees,2022,International Journal of Discrimination and the Law,22,3,,281,304,,,10.1177/13582291221115538,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135536215&doi=10.1177%2f13582291221115538&partnerID=40&md5=960b76e4a5928c56800437fec9dbabb5,"Social and Political Sciences, Universidad del Pacifico, Lima, Peru; Social Sciences, Pontificia Universidad Catolica del Peru, Lima, Peru; Law, Universidad del Pacifico, Lima, Peru","Freier, L.F., Social and Political Sciences, Universidad del Pacifico, Lima, Peru; Aron Said, V., Social Sciences, Pontificia Universidad Catolica del Peru, Lima, Peru; Quesada Nicoli, D., Law, Universidad del Pacifico, Lima, Peru","In the Americas, the Inter-American Commission on Human Rights (IACHR) and the Inter-American Court of Human Rights (IACtHR) have established that the principle of equality and non-discrimination requires States to both ensure that migrants are not discriminated against on any of the protected grounds of the American Convention on Human Rights, as well as to take specific action to protect certain groups of migrants that are in a situation of vulnerability. Via a comparative quantitative analysis of the immigration and refugee laws, as well as implementing regulations, of 20 Latin American countries, we examine the extent of non-discrimination and special protection provided by the region’s migratory legislation. Our results reveal three main findings. First, more recent immigration and refugee laws tend to be more expansive, which reflects the period of migratory liberalisation in the region. Second, while non-discrimination clauses are more dominant in laws, special protection clauses are primarily present in implementing regulations. This suggests that countries see special protection as a tool to positive discrimination of particularly vulnerable groups. Third, although we identify an overall expansion on protection grounds, countries’ migratory laws mostly reflect traditional categories like: sex/gender; race/ethnicity/colour; nationality; economic/social condition; and religion. Overall, although laudable, the impact of these provisions on reversing structural discrimination from an intersectional approach remains questionable. © The Author(s) 2022.",Latin America; non-discrimination; refugees; special protection; Vulnerable migrants,,"Aron Said, V.; Social Sciences, Peru; email: valeria.aron@pucp.pe",,SAGE Publications Ltd,13582291,,,,English,Int. J. Discrim. Law,Article,Final,,Scopus,2-s2.0-85135536215
"Freier L.F., Doña-Reveco C.",36542421000;56850505700;,Introduction: Latin American Political and Policy Responses to Venezuelan Displacement,2022,International Migration,60,1,,9,17,,4,10.1111/imig.12957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123789737&doi=10.1111%2fimig.12957&partnerID=40&md5=443a0312997844b0e9bb0717f036fceb,"Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru; Department of Sociology and Anthropology and Office of Latino/Latin American Studies, University of Nebraska at Omaha, Omaha, NE, United States","Freier, L.F., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru; Doña-Reveco, C., Department of Sociology and Anthropology and Office of Latino/Latin American Studies, University of Nebraska at Omaha, Omaha, NE, United States",[No abstract available],,displacement; international migration; political development; political geography; political participation; Venezuela,"Freier, L.F.; Department of Social and Political Sciences, Peru; email: lf.freierd@up.edu.pe",,John Wiley and Sons Inc,207985,,,,English,Int. Migr.,Article,Final,,Scopus,2-s2.0-85123789737
"Sánchez Nájera F., Freier L.F.",57236582100;36542421000;,The Cartagena refugee definition and nationality-based discrimination in Mexican refugee status determination,2022,International Migration,60,1,,37,56,,4,10.1111/imig.12910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113807328&doi=10.1111%2fimig.12910&partnerID=40&md5=3b9643a8d3a93bb2c5dc8f0af3ee224d,"Human Rights Center, Universidad Iberoamericana, Mexico City, Mexico; Universidad del Pacífico, Lima, Peru","Sánchez Nájera, F., Human Rights Center, Universidad Iberoamericana, Mexico City, Mexico; Freier, L.F., Universidad del Pacífico, Lima, Peru","Mexico's Refugee Law of 2011 has been praised as exceptionally progressive. A core aspect of the new law is the inclusion of an expanded refugee definition derived from the Cartagena Declaration. Nonetheless, it has also been pointed out that implementation gaps persist between Mexico's laws and policy practice. In this paper, we analyse in how far Mexico has applied the Cartagena definition to allegeable asylum seekers. Based on the analysis of a representative sample of 565 Refugee Status Determination (RSD) resolutions, we identify patterns in the country's RSD procedure from 2011 to 2016. On the one hand, we find a 98 per cent recognition rate, under the Cartagena refugee definition, for Venezuelan asylum seekers; on the other hand, a lack of application of the Cartagena definition to Central Americans. We discuss how our findings relate to broader problems associated with the RSD procedure in Latin America, and provide policy recommendations. © 2021 The Authors. International Migration © 2021 IOM",,asylum seeker; nationalism; racism; refugee; Mexico [North America],"Sánchez Nájera, F.; Human Rights Center, Mexico; email: felipe.sanchez.najera@gmail.com",,John Wiley and Sons Inc,207985,,,,English,Int. Migr.,Article,Final,,Scopus,2-s2.0-85113807328
"Freier L.F., Berganza I., Blouin C.",36542421000;57325906800;57219966353;,The Cartagena Refugee Definition and Venezuelan Displacement in Latin America1,2022,International Migration,60,1,,18,36,,7,10.1111/imig.12791,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096988508&doi=10.1111%2fimig.12791&partnerID=40&md5=e2969fde648f1ea607bae56a97b76645,"Universidad del Pacífico, Lima, Peru; Universidad Antonio Ruiz de Montoya, Lima, Peru; Pontificia Universidad Católica del Perú, Lima, Peru","Freier, L.F., Universidad del Pacífico, Lima, Peru; Berganza, I., Universidad Antonio Ruiz de Montoya, Lima, Peru; Blouin, C., Pontificia Universidad Católica del Perú, Lima, Peru","The displacement of Venezuelan citizens represents an important test for Latin American refugee policies. In mid-2020, over 5 million people in need of international protection had left Venezuela, and there have been repeated calls for their recognition as refugees. Although fifteen countries in Latin America have included the refugee definition of the Cartagena Declaration into their domestic laws, only Mexico and Brazil have applied this definition to Venezuelan citizens. After a brief discussion of the history and scope of the Cartagena Declaration refugee definition and its incorporation into domestic legislation across Latin America, in this article, we provide a systematic legal analysis of its applicability to Venezuelan displacement. We conclude with policy recommendations and suggestions for further research. © 2020 The Authors. International Migration © 2020 IOM",,forced migration; immigration policy; international migration; policy approach; refugee; Brazil; Latin America; Mexico [North America]; Venezuela,"Freier, L.F.; Universidad del PacíficoPeru; email: lf.freierd@up.edu.pe",,John Wiley and Sons Inc,207985,,,,English,Int. Migr.,Article,Final,,Scopus,2-s2.0-85096988508
"Melde S., Freier L.F.",57737450700;36542421000;,When the stars aligned: ideational strategic alliances and the critical juncture of Argentina’s 2004 Migration Law,2022,Third World Quarterly,43,7,,1531,1550,,1,10.1080/01436597.2022.2081145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132197169&doi=10.1080%2f01436597.2022.2081145&partnerID=40&md5=5d74090b0c1a9ea6b49f63695b9e0104,"Formerly, Department of Geography, University of Sussex, Brighton, United Kingdom; International Organisation for Migration, Regional Office for South America, Buenos Aires, Argentina; Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","Melde, S., Formerly, Department of Geography, University of Sussex, Brighton, United Kingdom, International Organisation for Migration, Regional Office for South America, Buenos Aires, Argentina; Freier, L.F., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","Argentina’s 2004 Migration Law spearheaded rights-based immigration policy reforms across Latin America. To deconstruct the policy process that enabled the passing of this ‘revolutionary’ law, we apply a mixed qualitative approach, based on secondary literature, and the analysis of 80 semi-structured interviews with key stakeholders. We argue that both structural and contingent regime dynamics shaped a window of opportunity for the reform to take place. We further show how key actors amongst civil society organisations, the executive and the legislative branches formed multi-sectoral coalitions and strategic alliances to turn this policy window into a critical juncture of lasting policy change. Ultimately, legislative reform was successful because it was framed as a human right, and not as an immigration issue. The paper contributes to scholarship on immigration policy determinants, ideational strategic alliances, policy windows and critical junctures. © 2022 Global South Ltd.",critical junctures; human rights; Migration policy determinants; policy liberalisation; policy windows; South America,civil society; human rights; immigration policy; policy analysis; policy reform; stakeholder; Argentina,"Melde, S.; Formerly, United Kingdom; email: smelde@iom.int",,Routledge,1436597,,,,English,Third World Q.,Article,Final,,Scopus,2-s2.0-85132197169
"Pérez L.M., Freier L.F.",12799123000;36542421000;,Of prostitutes and thieves: the hyper-sexualization and criminalisation of Venezuelan migrant women in Peru,2022,Journal of Ethnic and Migration Studies,,,,,,,2,10.1080/1369183X.2022.2047907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126346194&doi=10.1080%2f1369183X.2022.2047907&partnerID=40&md5=afd598d07bc1a6b7f1d6d6cfef90f136,"Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","Pérez, L.M., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru; Freier, L.F., Department of Social and Political Sciences, Universidad del Pacífico, Lima, Peru","Based on 12 months of fieldwork, including 72 in-depth interviews and a survey (N100) in five Peruvian cities, this article discusses the higher rates of nationality-, gender-, and age-based discrimination faced by Venezuelan female migrants in Peru, compared to their male counterparts, as well as their experiences with hyper-sexualization and/or criminalisation. We suggest that these processes, which are grounded on constructions of moral integrity and identity stereotypes at the intersection of gender, sex appeal, nationality, age, and condition as migrants, contribute to the devaluation of Venezuelan migrant women, thus impacting their integration into the country. First, based on our quantitative data, we discuss Venezuelan migrant women’s experiences with different types of discrimination. We then move to the qualitative analysis of their devaluation through hyper-sexualization and/or criminalisation in both public and workspaces, as well as the effects of these complex processes on their socio-economic incorporation. Finally, we discuss our findings and make suggestions for further research. This paper contributes to the literature on female migrant hyper-sexualization and criminalisation, as well as to research that examines how the intersectionality of stereotypes and social conditions position migrant women in the Global South. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Criminalizing discrimination; hyper-sexualization; intersectionality; Venezuelan displacement; women south-south migration,,"Pérez, L.M.; Department of Social and Political Sciences, Peru; email: l.perez@up.edu.pe",,Routledge,1369183X,,,,English,J. Ethn. Migr. Stud.,Article,Article in Press,,Scopus,2-s2.0-85126346194
